tweet,emotion,clean_text,clean_text2
از صدای پرنده دم دمای صبح متنفرم متنفرم متنفرم,3,از صدای پرنده دم دمای صبح متنفرم متنفرم متنفرم,"['صدای', 'پرنده', 'دم', 'دما', 'صبح', 'متنفر', 'متنفر', 'متنفر']"
" ""کیفیتش خیلی خوبه با شک خریدم ولی واقعا راضیم بعد از حدود 2 ماه استفاده«متأسفانه باخبر شدیم» که فردی در ایرانشهر به حداقل 41 دختر تجاوز کرده. امیدواریم با همکاری نمایندگان محترم مجلس و دستگاه قضا، دیگه به این راحتی باخبر نشیم.",5,کیفیتش خیلی خوبه با شک خریدم ولی واقعا راضیم بعد از حدود 2 ماه استفادهمتأسفانه باخبر شدیم که فردی در ایرانشهر به حداقل 41 دختر تجاوز کرده امیدواریم با همکاری نمایندگان محترم مجلس و دستگاه قضا دیگه به این راحتی باخبر نشیم,"['کیفیت', 'خوبه', 'شک', 'خرید', 'واقعا', 'راض', 'ماه', 'استفادهمتأسفانه', 'باخبر', 'شدیم', 'ایرانشهر', 'دختر', 'تجاوز', 'امیدوار', 'همکاری', 'نمایندگان', 'محترم', 'مجلس', 'دستگاه', 'قضا', 'دیگه', 'راحتی', 'باخبر', 'نشیم']"
چون همش با دوربین ثبت شده ، ایا میشه اعتراض زد؟؟ و اصن تاثیر داره؟ کسی اگه اطلاعی داره ممنون میشم راهنمایی کنید,4,چون همش با دوربین ثبت شده ایا میشه اعتراض زد و اصن تاثیر داره کسی اگه اطلاعی داره ممنون میشم راهنمایی کنید,"['همش', 'دوربین', 'ثبتشده', 'ایا', 'میشه', 'اعتراض', 'زد', 'اصن', 'تاثیر', 'داره', 'اگه', 'اطلاعی', 'داره', 'ممنون', 'میشم', 'راهنمایی']"
اين وضع ب طرز خنده داري گريه داره ...,5,اين وضع ب طرز خنده داري گريه داره,"['وضع', 'ب', 'طرز', 'خنده', 'دار', 'گریه', 'داره']"
خب من رسما از یک نفر متنفرم،چون از گربه بدش میاد از صبح شروع کرده رو مخ من راه رفتن؛شپش میگیری،کزاز میگیری،کک داره ،درد داره،مرض داره و اینقدر تکرار کرده که تا سرم میخاره میپرم جلوی آینه نگاه میکنم یه وقت شپش نگرفته باشم... عوضی ازش متنفرم بهش گفته بودم منو رو یه چیزی حساس نکن,3,خب من رسما از یک نفر متنفرمچون از گربه بدش میاد از صبح شروع کرده رو مخ من راه رفتنشپش میگیریکزاز میگیریکک داره درد دارهمرض داره و اینقدر تکرار کرده که تا سرم میخاره میپرم جلوی آینه نگاه میکنم یه وقت شپش نگرفته باشم عوضی ازش متنفرم بهش گفته بودم منو رو یه چیزی حساس نکن,"['خب', 'رسما', 'نفر', 'متنفرمچون', 'گربه', 'بد', 'میاد', 'صبح', 'مخ', 'رفتنشپش', 'میگیریکزاز', 'میگیریکک', 'داره', 'درد', 'دارهمرض', 'داره', 'اینقدر', 'تکرار', 'سر', 'میخاره', 'میپرم', 'جلوی', 'آینه', 'نگاه', 'یه', 'وقت', 'شپش', 'نگرفته_باشم', 'عوضی', 'ازش', 'متنفر', 'بهش', 'گفته_بودم', 'منو', 'یه', 'حساس', 'نکن']"
داشتم خواب میدیدم یهو توی خواب گفتم بیاین درینک بزنیم خواب ترسناک ببینیم ی پیک زدیم و دقیقا همونطور شد و من با ضربان ۱۱۰ از خواب پریدم و ساعت ۴ صبحه؟ ذهن بیمارتر از منم دیدین؟ ژانر شنگول منگول خوابمو چرا عوض کردم چرااا,1,داشتم خواب میدیدم یهو توی خواب گفتم بیاین درینک بزنیم خواب ترسناک ببینیم ی پیک زدیم و دقیقا همونطور شد و من با ضربان ۱۱۰ از خواب پریدم و ساعت ۴ صبحه ذهن بیمارتر از منم دیدین ژانر شنگول منگول خوابمو چرا عوض کردم چرااا,"['دا', 'خواب', 'میدیدم', 'یهو', 'توی', 'خواب', 'گف', 'بیاین', 'درینک', 'بزن', 'خواب', 'ترسناک', 'ببینیم', 'ی', 'پیک', 'زدیم', 'دقیقا', 'همونطور', 'ضربان', 'خواب', 'پریدم', 'ساعت', 'صبحه', 'ذهن', 'بیمار', 'منم', 'دیدین', 'ژانر', 'شنگول', 'منگول', 'خوابمو', 'عوض']"
"اصلا ارزش خرید نداره فقط رو مخ میره""",0,اصلا ارزش خرید نداره فقط رو مخ میره,"['اصلا', 'ارزش', 'خرید', 'نداره', 'مخ', 'میره']"
اونجایه آدمه مفعول ودروغگو...عجب خرایی داریم واقعا...روز روشن میگه شبه!!!اسم اینوچی میشه گذاشت دیگه؟من دسترسی ندارم بهش میخام بگم یه اسمی خودت بگوبرات بذاریم البته آخرش یه ...کش داشته باشه!,0,اونجایه آدمه مفعول ودروغگوعجب خرایی داریم واقعاروز روشن میگه شبهاسم اینوچی میشه گذاشت دیگهمن دسترسی ندارم بهش میخام بگم یه اسمی خودت بگوبرات بذاریم البته آخرش یه کش داشته باشه,"['اونجایه', 'آدمه', 'مفعول', 'ودروغگوعجب', 'خرایی', 'واقعاروز', 'روشن', 'میگه', 'شبهاسم', 'اینوچی', 'میشه', 'گذاشت', 'دیگهمن', 'دسترسی', 'ندار', 'بهش', 'میخا', 'بگم', 'یه', 'اسمی', 'خودت', 'بگوبرات', 'بذار', 'آخرش', 'یه', 'کش', 'باشه']"
"من این گوشی رو اعصابم بهم ریخت کوبیدم تودیوار له شده السیدیش اما هنوزم کارمیکنه حرف نداره گوشیش""",2,من این گوشی رو اعصابم بهم ریخت کوبیدم تودیوار له شده السیدیش اما هنوزم کارمیکنه حرف نداره گوشیش,"['گوش', 'اعصاب', 'بهم', 'ریخت', 'کوبیدم', 'تودیوار', 'لهشده', 'السیدیش', 'هنوز', 'کارمیکنه', 'حرف', 'نداره', 'گوش']"
تا این مفسد فی الارض به سزای اعمالش نرسه و ۲۰۰ هزار تومن جریمه نشه من آروم نمی گیریم #سعید_طوسی,0,تا این مفسد فی الارض به سزای اعمالش نرسه و ۲۰۰ هزار تومن جریمه نشه من آروم نمی گیریم,"['مفسد', 'فی', 'الارض', 'سزا', 'اعمالش', 'نرسه', 'هزار', 'تومن', 'جریمه', 'نشه', 'آرو', 'نمیگیریم']"
